,values
380,1.4173686e-06
381,9.2377513e-07
382,2.2439458e-06
383,0.0
384,3.7813226e-07
385,7.4146456e-08
386,0.0
387,7.6898665e-09
388,1.3082401e-06
389,0.0
390,1.3689348e-06
391,0.0
392,0.0
393,1.717971e-06
394,0.0
395,0.0
396,8.8604605e-07
397,1.5115293e-07
398,1.4547504e-06
399,2.2192503e-06
400,7.548953e-08
401,3.1742258e-07
402,4.1779637e-07
403,1.9252439e-06
404,2.0234882e-06
405,6.358513e-07
406,6.2393036e-07
407,4.1966825e-07
408,7.802609e-07
409,7.984828e-07
410,3.2177925e-07
411,1.5423839e-06
412,1.12693094e-07
413,0.0
414,3.7436007e-06
415,2.9361587e-07
416,2.5566358e-06
417,6.6439334e-08
418,2.5134118e-06
419,6.2832083e-07
420,1.9592274e-07
421,2.6172215e-06
422,8.4684035e-07
423,1.038136e-06
424,9.585321e-08
425,0.0
426,2.1859255e-07
427,2.23401e-06
428,2.8172776e-06
429,3.4912953e-06
430,1.3859276e-06
431,0.0
432,1.5072343e-06
433,2.1834005e-06
434,1.9670533e-06
435,1.2332204e-06
436,7.719225e-07
437,4.4271061e-07
438,9.494868e-07
439,6.320897e-07
440,0.0
441,1.5771365e-06
442,1.4060226e-06
443,5.2960553e-07
444,1.5155297e-06
445,1.8681118e-07
446,1.9115769e-06
447,1.0516748e-06
448,8.904701e-08
449,2.6771504e-06
450,9.555824e-07
451,1.0460176e-06
452,3.1051668e-06
453,2.2103798e-06
454,1.5792975e-06
455,1.9818024e-06
456,1.5031111e-06
457,1.7635564e-06
458,1.1527198e-06
459,0.0
460,1.9227932e-06
461,4.913699e-08
462,5.0736946e-07
463,4.0143923e-06
464,6.5126784e-07
465,1.5448728e-06
466,2.0679356e-06
467,2.0283821e-06
468,7.51997e-07
469,1.705248e-06
470,3.4005177e-07
471,2.7446104e-06
472,1.7536389e-06
473,7.1425984e-07
474,2.6888413e-06
475,1.6176551e-06
476,8.4570195e-07
477,3.1159595e-06
478,3.3511938e-06
479,5.0110334e-06
480,6.6262605e-06
481,8.1174485e-06
482,1.1599997e-05
483,1.0983946e-05
484,1.4442645e-05
485,1.4600626e-05
486,1.34505135e-05
487,1.5020971e-05
488,2.1918744e-05
489,1.87481e-05
490,1.9835348e-05
491,2.1893504e-05
492,2.061291e-05
493,2.348267e-05
494,2.6153533e-05
495,3.285198e-05
496,3.3553606e-05
497,3.6868947e-05
498,4.3791802e-05
499,5.001465e-05
500,5.935418e-05
501,6.8881796e-05
502,8.0115904e-05
503,8.8142166e-05
504,9.654721e-05
505,0.000106417494
506,0.00011355427
507,0.0001294287
508,0.00014532276
509,0.00016610863
510,0.00018933952
511,0.0002183489
512,0.00024272682
513,0.00026791278
514,0.00027728427
515,0.00027468515
516,0.00028869667
517,0.00030078666
518,0.00030901007
519,0.00032269568
520,0.00033832088
521,0.00034823216
522,0.0003737044
523,0.0003892838
524,0.00040692696
525,0.00041940328
526,0.00042369246
527,0.00042645846
528,0.000425981
529,0.0004201903
530,0.00041025912
531,0.0003996611
532,0.00039055746
533,0.00037953653
534,0.00037151336
535,0.00036848616
536,0.00035999232
537,0.00035591068
538,0.0003458754
539,0.00032923883
540,0.00032149206
541,0.00031259414
542,0.00030189566
543,0.00029166546
544,0.0002748554
545,0.0002654651
546,0.0002553994
547,0.00024488516
548,0.00023576789
549,0.00022566329
550,0.00022056232
551,0.00020635313
552,0.00019864645
553,0.00018463728
554,0.00017445514
555,0.00016060575
556,0.00015357143
557,0.0001414089
558,0.00013285024
559,0.0001234622
560,0.00011677085
561,0.00010788954
562,9.8078344e-05
563,9.1939226e-05
564,8.723239e-05
565,7.957674e-05
566,7.635927e-05
567,6.880919e-05
568,6.286196e-05
569,5.850564e-05
570,5.5724526e-05
571,4.8719143e-05
572,4.3396278e-05
573,4.2323773e-05
574,3.48653e-05
575,4.1181906e-05
576,3.338892e-05
577,2.9049052e-05
578,2.4629933e-05
579,2.709666e-05
580,2.2767414e-05
581,2.2402233e-05
582,1.6909418e-05
583,1.4393513e-05
584,1.2077136e-05
585,1.470265e-05
586,8.78348e-06
587,8.642318e-06
588,1.142202e-05
589,6.045871e-06
590,6.715308e-06
591,7.3989117e-06
592,2.7392332e-06
593,2.650693e-06
594,4.669601e-06
595,3.473749e-06
596,1.066332e-06
597,1.0987698e-06
598,3.6072204e-06
599,3.066496e-06
600,5.7331454e-06
601,1.436785e-06
602,2.780146e-06
603,1.5186562e-07
604,1.3718467e-06
605,9.1156807e-07
606,2.685482e-06
607,5.01687e-07
608,9.761152e-07
609,4.514657e-07
610,5.1809266e-06
611,1.447008e-06
612,3.5537076e-07
613,1.5658484e-06
614,7.614057e-06
615,2.5223826e-06
616,1.11498544e-07
617,3.4652187e-06
618,1.221358e-06
619,2.4563647e-07
620,8.785562e-07
621,0.0
622,1.9886309e-06
623,0.0
624,1.1352384e-06
625,1.3689174e-06
626,2.4561325e-06
627,6.031469e-07
628,3.4616319e-06
629,2.7732733e-06
630,3.0611357e-06
631,8.591667e-06
632,1.7630624e-06
633,5.946496e-06
634,2.413844e-06
635,1.8443951e-06
636,2.7106112e-06
637,2.2770417e-08
638,2.1816665e-07
639,0.0
640,0.0
641,0.0
642,1.9146037e-06
643,2.9355585e-06
644,2.7932956e-06
645,0.0
646,3.7096124e-06
647,3.9038548e-07
648,0.0
649,8.558205e-07
650,2.2726913e-06
651,1.5340925e-06
652,0.0
653,6.486426e-07
654,7.2728164e-07
655,2.0121897e-07
656,2.414068e-06
657,3.5455287e-07
658,8.410809e-07
659,2.6421883e-06
660,0.0
661,3.43995e-08
662,1.9058024e-06
663,1.4889389e-06
664,2.060788e-06
665,6.1591595e-07
666,2.0835846e-06
667,0.0
668,0.0
669,9.976772e-08
670,4.3896084e-06
671,2.0688958e-07
672,6.067186e-07
673,3.7511995e-06
674,1.2384269e-06
675,0.0
676,2.5639583e-06
677,8.1353886e-07
678,0.0
679,1.1472641e-07
680,4.2349537e-09
681,0.0
682,4.0439514e-07
683,0.0
684,0.0
685,1.91794e-06
686,7.889158e-07
687,4.722175e-07
688,4.613359e-06
689,6.112242e-07
690,7.832345e-06
691,4.1075723e-06
692,2.5103163e-06
693,6.3750184e-07
694,0.0
695,2.5603717e-06
696,1.2990267e-07
697,9.352766e-07
698,1.1745348e-06
699,0.0
700,5.04407e-07
701,5.2800283e-07
702,3.2092638e-07
703,4.840922e-07
704,4.517196e-07
705,1.0131943e-06
706,1.101473e-06
707,1.2817552e-06
708,2.1587286e-06
709,1.7637146e-06
710,1.8632405e-06
711,1.7369057e-06
712,1.7135335e-06
713,1.7488884e-06
714,2.1402843e-06
715,2.328949e-06
716,1.6215802e-06
717,1.6823866e-06
718,1.1704531e-06
719,1.3153973e-06
720,1.2716567e-06
721,9.782694e-07
722,9.508146e-07
723,1.506133e-06
724,2.0542313e-06
725,2.2191878e-06
726,2.607908e-06
727,2.1234152e-06
728,2.095269e-06
729,2.2997644e-06
730,2.0482198e-06
731,1.6304826e-06
732,1.2769685e-06
733,8.974092e-07
734,7.3300765e-07
735,1.1031001e-06
736,1.8196479e-06
737,1.9634772e-06
738,3.236766e-06
739,3.9494657e-06
740,3.3228832e-06
741,3.6560054e-06
742,2.92149e-06
743,1.8684425e-06
744,1.6606654e-06
745,1.5983621e-06
746,1.5948808e-06
747,2.1587139e-06
748,2.7416706e-06
749,2.8943575e-06
750,3.1005275e-06
751,2.9258033e-06
752,2.8450418e-06
753,2.4894337e-06
754,1.8929665e-06
755,1.6205632e-06
756,1.563784e-06
757,1.4170072e-06
758,1.3490129e-06
759,1.1414307e-06
760,1.0258053e-06
761,9.732581e-07
762,9.1957884e-07
763,9.659573e-07
764,6.512118e-07
765,2.202783e-06
766,2.4988083e-06
767,2.7705844e-06
768,2.9119497e-06
769,1.8009266e-06
770,1.5885188e-06
771,1.9558577e-06
772,1.9011941e-06
773,1.6367977e-06
774,1.8152014e-06
775,2.1354724e-06
776,2.4461056e-06
777,2.818811e-06
778,3.3307758e-06
779,2.8975817e-06
780,3.883271e-06
